Frequency	Amplitude
1001.55	0.486342
1001.22	0.486488
1000.63	0.487509
1000.62	0.487211
1049.59	0.487819
1050.12	0.487417
1049.53	0.48795
1101.04	0.486917
1099.36	0.487796
1099.01	0.487842
1150.05	0.487339
1149.7	0.487317
1149.94	0.487492
1150.66	0.487
1199.81	0.486829
1199.7	0.487034
1200.12	0.486811
1250.65	0.486732
1251.19	0.48638
1249.79	0.486991
1299.95	0.486685
1300.07	0.486672
1299.8	0.486754
1300.33	0.486459
1350.59	0.486127
1350.66	0.486206
1350.58	0.486174
1400.63	0.485898
1400.5	0.486049
1399.95	0.486133
1450.72	0.485702
1451.05	0.485739
1450.51	0.485705
1450.85	0.48564
1500.55	0.485395
1500.93	0.485247
1500.48	0.485394
1550.48	0.485216
1550.07	0.485214
1550.86	0.485038
1600.41	0.485277
1600.73	0.48518
1600.26	0.485243
1599.97	0.485268
1649.65	0.485023
1649.56	0.485026
1650.03	0.48522
1699.92	0.484892
1699.68	0.485024
1699.09	0.485026
1749.99	0.484827
1749.38	0.484892
1749.42	0.484862
1749.86	0.484773
1799.62	0.484544
1799.51	0.484481
1799.41	0.484622
1849.28	0.484237
1849.13	0.484197
1849.46	0.484246
1899.55	0.484105
1899.59	0.484012
1899.8	0.483877
1899.56	0.483909
1949.69	0.483641
1949.55	0.483353
1949.52	0.483425
1999.43	0.483184
1999.45	0.483453
1999.23	0.483307
2049.3	0.483055
2049.38	0.483052
2049.8	0.483355
2049.83	0.482989
2099.79	0.482808
2099.59	0.482684
2099.68	0.482872
2149.74	0.482381
2149.86	0.482587
2149.63	0.482687
2199.72	0.482212
2199.63	0.48222
2199.75	0.482416
2249.98	0.48202
2250.04	0.482
2250.01	0.481991
2249.89	0.481975
2299.92	0.481631
2299.94	0.481695
2299.93	0.481654
2349.78	0.481028
2349.96	0.481143
2349.76	0.481324
2400.03	0.480965
2399.85	0.480702
2399.92	0.480933
2399.94	0.480917
2449.75	0.480728
2449.75	0.48053
2449.89	0.480741
2500.17	0.480233
2499.86	0.480143
2499.89	0.480101
2550.03	0.479931
2549.78	0.48002
2549.86	0.479755
2549.92	0.4799
2600.11	0.479256
2600.03	0.479432
2600.26	0.479299
2649.77	0.478908
2649.97	0.47895
2649.98	0.478859
2699.96	0.478419
2700.05	0.478503
2699.95	0.478289
2700.06	0.478582
2749.69	0.47803
2749.95	0.477915
2750	      0.477858
2799.98	0.477382
2799.73	0.477352
2799.78	0.47754
2850.01	0.476818
2849.95	0.476823
2849.99	0.476946
2850.13	0.47695
2900.05	0.476335
2899.76	0.476365
2899.85	0.476366
2949.93	0.475724
2950.11	0.475798
2950.11	0.475921
2999.72	0.475449
3000.03	0.475123
2999.7	0.475418
2999.92	0.475052
3049.88	0.474501
3050.07	0.474547
3049.77	0.474533
3100.1	0.473768
3099.85	0.473993
3100	      0.473846
3149.72	0.473187
3149.82	0.473202
3150.01	0.473203
3150.12	0.473182
3200.07	0.472448
3199.96	0.472309
3199.95	0.472539
3249.79	0.47161
3250.13	0.471655
3249.68	0.471593
3300.09	0.471008
3300.09	0.470869
3299.96	0.470932
3300.06	0.470791
3350.01	0.470088
3349.99	0.470119
3349.75	0.469934
3400.06	0.469265
3399.94	0.469097
3399.93	0.469219
3449.86	0.468204
3449.97	0.468476
3449.68	0.468356
3449.95	0.468425
3499.85	0.467054
3499.81	0.467397
3499.79	0.4674
3550.03	0.466197
3549.9	0.466175
3549.95	0.466057
3599.86	0.465228
3599.65	0.465099
3599.89	0.465076
3599.86	0.465134
3650.12	0.463958
3649.9	0.46397
3649.99	0.464069
3699.77	0.462856
3700.1	0.462586
3699.96	0.462816
3749.89	0.461387
3750.06	0.461414
3749.8	0.461742
3750	      0.461559
3799.92	0.459948
3799.86	0.459835
3800.07	0.46002
3849.94	0.45854
3849.9	0.458525
3849.97	0.45873
3899.99	0.457099
3900.1	0.456968
3899.8	0.457149
3899.94	0.457312
3949.67	0.455643
3949.84	0.455541
3949.85	0.455592
3999.84	0.453906
3999.95	0.453771
4000.02	0.454031
4049.72	0.451974
4049.66	0.451896
4049.92	0.452103
4049.95	0.452089
4099.88	0.450219
4099.88	0.450057
4099.91	0.450111
4149.73	0.448054
4149.78	0.447985
4149.72	0.448088
4200.03	0.445982
4199.94	0.445944
4200.07	0.446041
4199.95	0.445967
4249.81	0.443769
4249.92	0.443849
4250.08	0.443836
4299.76	0.441273
4300.05	0.441157
4299.81	0.441204
4349.94	0.438708
4349.85	0.43876
4349.93	0.438564
4349.98	0.4386
4399.79	0.435863
4399.84	0.435797
4400.01	0.435867
