Time(s)	Amplitude(V)
0.00001	0.49581
0.00002	0.497901
0.00003	0.49951
0.00004	0.49951
0.00005	0.501441
0.00006	0.497901
0.00007	0.502245
0.00008	0.494523
0.00009	0.496775
0.00010	0.490823
0.00011	0.496293
0.00012	0.490501
0.00013	0.499189
0.00014	0.489857
0.00015	0.499832
0.00016	0.493397
0.00017	0.501763
0.00018	0.495488
0.00019	0.500797
0.00020	0.497901
0.00021	0.498384
0.00022	0.499028
0.00023	0.498223
0.00024	0.502245
0.00025	0.49581
0.00026	0.497419
0.00027	0.496614
0.00028	0.500797
0.00029	0.493397
0.00030	0.501441
0.00031	0.494845
0.00032	0.500315
0.00033	0.494362
0.00034	0.500476
0.00035	0.494845
0.00036	0.500797
0.00037	0.495971
0.00038	0.500315
0.00039	0.497419
0.00040	0.500315
0.00041	0.496293
0.00042	0.499671
0.00043	0.496614
0.00044	0.498706
0.00045	0.500154
0.00046	0.496293
0.00047	0.498867
0.00048	0.494845
0.00049	0.498223
0.00050	0.49404
0.00051	0.501924
0.00052	0.493879
0.00053	0.500637
0.00054	0.495006
0.00055	0.500154
0.00056	0.493718
0.00057	0.501602
0.00058	0.495649
0.00059	0.501602
0.00060	0.495006
0.00061	0.50128
0.00062	0.499832
0.00063	0.497258
0.00064	0.498545
0.00065	0.499189
0.00066	0.500797
0.00067	0.498062
0.00068	0.500315
0.00069	0.495649
0.00070	0.497741
0.00071	0.495327
0.00072	0.499993
0.00073	0.49758
0.00074	0.501441
0.00075	0.493879
0.00076	0.503693
0.00077	0.494684
0.00078	0.500476
0.00079	0.495488
0.00080	0.499349
0.00081	0.496936
0.00082	0.498545
0.00083	0.498706
0.00084	0.50128
0.00085	0.498545
0.00086	0.498384
0.00087	0.497741
0.00088	0.499832
0.00089	0.500476
0.00090	0.495649
0.00091	0.501441
0.00092	0.496614
0.00093	0.500637
0.00094	0.497097
0.00095	0.500476
0.00096	0.494684
0.00097	0.502406
0.00098	0.495327
0.00099	0.499671
